[20:16:56] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:16:57] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:16:57] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:16:57] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:16:57] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:16:57] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:16:57] [main/INFO]: Reloading ResourceManager: Default
[20:16:57] [Worker-Main-12/INFO]: Loaded 7 recipes
[20:16:58] [Worker-Main-12/INFO]: Loaded 927 advancements
[20:17:00] [Server thread/INFO]: Starting minecraft server version 1.16.5
[20:17:00] [Server thread/INFO]: Loading properties
[20:17:00] [Server thread/INFO]: Default game type: SURVIVAL
[20:17:00] [Server thread/INFO]: Generating keypair
[20:17:00] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:279) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:290) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:351) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:284) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:326) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:178) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:181) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:161) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:326) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:392) ~[?:?]
	at zg$1.run(SourceFile:95) [server.jar:?]
[20:17:00] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:17:00] [Server thread/INFO]: Using default channel type
[20:17:01] [Server thread/INFO]: Preparing level "world"
[20:17:08] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:17:08] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[20:17:08] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[20:17:09] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[20:17:09] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[20:17:10] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[20:17:10] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[20:17:11] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[20:17:11] [Worker-Main-13/INFO]: Preparing spawn area: 2%
[20:17:12] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[20:17:12] [Worker-Main-14/INFO]: Preparing spawn area: 4%
[20:17:13] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[20:17:13] [Worker-Main-14/INFO]: Preparing spawn area: 10%
[20:17:14] [Worker-Main-13/INFO]: Preparing spawn area: 11%
[20:17:14] [Worker-Main-12/INFO]: Preparing spawn area: 13%
[20:17:15] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[20:17:15] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[20:17:16] [Worker-Main-9/INFO]: Preparing spawn area: 19%
[20:17:16] [Worker-Main-14/INFO]: Preparing spawn area: 19%
[20:17:17] [Worker-Main-14/INFO]: Preparing spawn area: 26%
[20:17:17] [Worker-Main-10/INFO]: Preparing spawn area: 29%
[20:17:18] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[20:17:18] [Worker-Main-12/INFO]: Preparing spawn area: 35%
[20:17:19] [Worker-Main-14/INFO]: Preparing spawn area: 38%
[20:17:19] [Worker-Main-13/INFO]: Preparing spawn area: 43%
[20:17:20] [Worker-Main-9/INFO]: Preparing spawn area: 46%
[20:17:20] [Worker-Main-9/INFO]: Preparing spawn area: 50%
[20:17:21] [Worker-Main-14/INFO]: Preparing spawn area: 54%
[20:17:21] [Worker-Main-13/INFO]: Preparing spawn area: 57%
[20:17:22] [Worker-Main-12/INFO]: Preparing spawn area: 61%
[20:17:22] [Worker-Main-12/INFO]: Preparing spawn area: 65%
[20:17:23] [Worker-Main-11/INFO]: Preparing spawn area: 69%
[20:17:23] [Worker-Main-11/INFO]: Preparing spawn area: 73%
[20:17:24] [Worker-Main-13/INFO]: Preparing spawn area: 77%
[20:17:24] [Worker-Main-9/INFO]: Preparing spawn area: 82%
[20:17:25] [Worker-Main-10/INFO]: Preparing spawn area: 85%
[20:17:25] [Worker-Main-14/INFO]: Preparing spawn area: 89%
[20:17:26] [Worker-Main-12/INFO]: Preparing spawn area: 93%
[20:17:26] [Worker-Main-13/INFO]: Preparing spawn area: 98%
[20:17:26] [Server thread/INFO]: Time elapsed: 18699 ms
[20:17:26] [Server thread/INFO]: Done (25.620s)! For help, type "help"
